제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"불굴의 니나","2026.07.15","2026.07.19","동숭무대소극장 (동숭무대소극장)","연극","임소영, 한형민, 김혁종, 나수아, 한지훈","채승훈, 조유민, 표종현 등","만 12세 이상","1시간 20분","극단 창파","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294682_260626_112607.png","PF294682"
"목요예술무대 II. 우리동네 명작극장, 록산느를 위한 발라드 (영상화)","2026.08.27","2026.08.27","강동아트센터 (소극장 드림)","연극","","","만 7세 이상","1시간 48분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294676_260626_111435.jpg","PF294676"
"구연희곡 프로젝트 정주행: 청혼, 그리고 곰","2026.07.15","2026.07.31","렌더 성수희망플랫폼 (렌더 성수희망플랫폼)","연극","박은진, 임모윤, 김효민, 권도균, 권윤영","박강원","만 13세 이상","1시간","정주행 프로젝트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294667_260626_104524.jpg","PF294667"
"어린이 참여공연, 아빠와 난 초등1학년 [전주]","2026.08.08","2026.08.09","덕진예술회관 (덕진예술회관)","연극","","","36개월 이상","1시간 10분","피비컴퍼니, 피비컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294665_260626_104013.jpg","PF294665"
"0.80 청년시대 [김해]","2026.07.18","2026.07.18","김해문화의전당 (누리홀)","연극","변상윤, 김한나, 이삼우, 전자연, 김인하, 박준수, 김재인","이상우, 심봉석, 이삼우 등","만 9세 이상","1시간 30분","(재)김해문화재단 김해문화의전당","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294654_260626_095831.jpg","PF294654"
"양구문화재단 기획공연, 달소년 [양구] (7월)","2026.07.03","2026.07.04","버드나무 예술창고 (공연장)","연극","","","전체 관람가","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294650_260625_151954.png","PF294650"
"운수대통 [하동]","2026.07.14","2026.07.15","하동문화예술회관 (대공연장)","연극","","김종필, 이훈호, 김광탁","만 13세 이상","1시간 35분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294608_260625_122106.jpg","PF294608"
"오해","2026.07.23","2026.07.25","예술극장 통 (예술극장 통)","연극","최현정, 진소연, 정경아, 문진희, 김장준, 이솔, 이소연","이솔, 최재성, 조진호 등","만 13세 이상","1시간 40분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294607_260625_120519.jpg","PF294607"
"SHOOK (슉) [대학로]","2026.07.11","2026.08.02","업스테이지 (UP Stage) (업스테이지 (UP Stage) )","연극","이정호, 김무정, 서승우, 한종훈, 이주원, 김영준, 김도윤 등","남혁준, 곽민서, 전서현 등","만 11세 이상","1시간 30분","극단 아리, 더울림포스","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294599_260625_165338.png","PF294599"
"국립청년극단, 헤파이스토스 로미오와 줄리엣 [춘천]","2026.07.24","2026.07.26","축제극장몸짓 (축제극장몸짓)","연극","김빛나, 김윤서, 박상윤, 심효민, 윤방, 이서한, 이현우 등","신진호, 최태용, 김성구 등","만 7세 이상","1시간 30분","(재) 국립극단, (주)원앤원엔터테인먼트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294589_260625_104550.jpg","PF294589"
"다시, 별주부전 바다를 부탁해","2026.07.11","2026.07.11","학산소극장 (학산소극장)","연극","김미선, 최린, 하희준, 심영국","조민영, 서민준, 심영국 등","36개월 이상","1시간","극단 우주선","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294587_260625_104138.jpg","PF294587"
"이유를 찾아서 [대학로]","2026.07.08","2026.07.12","소극장 혜화당 (구. 까망소극장) (소극장 혜화당 (구. 까망소극장) )","연극","정우진, 이유진, 곽태정, 이승원, 이환희","이유진, 한종엽, 정우진 등","만 12세 이상","1시간 25분","극단 이유 [서울 광진], 극단 이유 [서울 광진]","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294566_260624_143944.gif","PF294566"
"비밀통로: INTERVAL [대구]","2026.08.22","2026.08.22","봉산문화회관 (가온홀)","연극","김성규, 이시형","민새롬","만 10세 이상","1시간 30분","(주) 콘텐츠 합, 봉산문화회관","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294564_260624_143228.png","PF294564"
"어린이 아트스테이지, 일장일딴 컬렉션 [김포]","2026.07.25","2026.07.26","통진두레문화센터 (두레홀)","연극","","","48개월 이상","55분","(재)김포문화재단, 일장일딴컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294561_260624_141844.gif","PF294561"
"햄릿의 변호사 [대학로]","2026.07.03","2026.07.05","나인진홀 (구.청년극장) (나인진홀 2관)","연극","김혜주, 김수호, 이여진","정구진, 강지원, 김종욱 등","만 11세 이상","1시간 20분","(주) 나인진엔터테인먼트, (주) 나인진엔터테인먼트","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294530_260624_131804.gif","PF294530"
"제13회 대한민국 신진 연출가전, 김민영: 피오니아","2026.07.22","2026.07.23","삼일로창고극장 (삼일로창고극장)","연극","김수빈, 심창훈, 이정엽, 서수빈","김민영, 김광훈, 이세광 등","만 13세 이상","1시간 10분","창작소 첨벙","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294527_260624_131431.jpeg","PF294527"
"춘섬이의 거짓말 [강릉]","2026.08.01","2026.08.01","강릉아트센터 (구. 강릉문화예술관) (소공연장)","연극","김현, 박옥출, 김명애, 김의연, 정래석, 이희연, 채연정 등","김정숙, 김기정, 정수미 등","만 13세 이상","1시간 30분","극단 모시는사람들, 이야기기획단 시작과 끝","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294504_260624_111903.jpg","PF294504"
