제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"하녀들 (Les Bonnes)","2026.09.17","2026.09.27","나온씨어터 (나온씨어터)","연극","송이주, 박승희, 유진희, 배현아","구태환, 노현열, 김소형 등","만 13세 이상","1시간 40분","극단 수, 주식회사 코스타","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299351_260825_141745.gif","PF299351"
"오! 나의 귀신님 [부산]","2026.09.17","2027.01.03","BNK부산은행 조은극장 (1관)","연극","","김도연, 이상율 등","만 7세 이상","1시간 30분","(주)조은아트플러스, BNK부산은행조은극장, DY company (디와이 컴퍼니), 조은문화마을","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299342_260825_135053.gif","PF299342"
"수상한 흥신소 [거제]","2026.10.24","2026.10.24","거제문화예술회관 (소극장)","연극","","","만 13세 이상","1시간 40분","익스트림플레이","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299336_260825_133522.jpg","PF299336"
"Sac on Screen, 무수비좌: 피노키오 [화성] (영상화)","2026.09.20","2026.09.20","화성예술의전당 (동탄아트홀)","연극","키노시타 이쿠미, 미야타케 시로, 코바야시 타카유키, 오타 히로키, 하세가와 마요, 타카미츠 코이치, 와다 마코토 등","오노 마사오, 아소 케이코, 코즈카 켄지 등","전체 관람가","1시간 34분","(재) 화성시문화관광재단","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299334_260825_133120.gif","PF299334"
"제9회 프로젝트 10minutes, 2주차","2026.09.10","2026.09.13","서울연극창작센터 (서울씨어터 101 (1F) )","연극","장예슬, 박소희, 방준식, 전영준, 유성곤, 임희정, 전인기 등","엄준연, 인치수, 문경진 등","만 13세 이상","1시간 10분","예술단체 화로, 창작19다, 창작집단 이랑","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299330_260825_132238.jpg","PF299330"
"LINE 두줄광대 [인천]","2026.09.17","2026.09.17","제물포구문화체육센터(구. 동구문화체육센터) (공연장)","연극","한산하, 신재웅, 김형일, 이선유, 박종수, 최원","임종희, 백승문, 박광배 등","만 5세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299329_260825_132101.gif","PF299329"
"가까운 이야기 [전남 광주]","2026.09.05","2026.09.06","문예정터 (소극장)","연극","최인환, 안의연, 김대연, 오창선, 김에덴","김민석, 김효진, 박서영","만 13세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299323_260825_125135.png","PF299323"
"서리풀 악동 문화공연, 호랑이와 곶감 (9월)","2026.09.07","2026.09.07","반포심산아트홀 (반포심산아트홀)","연극","","","24개월 이상","50분","서초구청","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299320_260825_124313.jpg","PF299320"
"사랑하는 윤에게","2026.09.15","2026.09.20","창동극장 (창동극장)","연극","강주연, 이서연, 부새연, 유태현, 김민채, 임석현","유태현, 강주연, 한재훈 등","만 13세 이상","1시간 10분","극단 이젝션","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299318_260825_114444.jpg","PF299318"
"지리산 반달곰 들메 [산청]","2026.09.18","2026.09.19","산청문화예술회관 (대공연장)","연극","","","만 5세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299312_260825_111856.jpg","PF299312"
"제3회 심야N연극제, 럭키! 전당포","2026.09.23","2026.09.27","나인진홀 (구.청년극장) (나인진홀 1관)","연극","김재아, 주홍민서, 류지환, 김수민, 고해이, 최성아, 차경찬 등","김시연, 박경서, 김화영 등","만 11세 이상","1시간 20분","(주) 나인진엔터테인먼트, 프로덕션 유월","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299303_260825_105554.gif","PF299303"
"필근이 온다 [안동]","2026.10.23","2026.10.24","안동문화예술의전당 (백조홀)","연극","이승훈, 김지형, 김동형, 배재혁, 이인우, 구진모, 정진 등","김신근, 권지연, 조영익 등","만 7세 이상","1시간 30분","안동문화예술의전당","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299295_260825_104341.jpg","PF299295"
"까꿍이와 동화나무 [안성]","2026.08.25","2026.09.06","용설아트스페이스 (용설아트스페이스)","연극","","","전체 관람가","50분","","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299292_260825_103500.jpg","PF299292"
"도어 넥스트 헤븐 [대학로]","2026.09.15","2026.11.01","로비 바이 컨템포러리 테일즈 (로비 바이 컨템포러리 테일즈(B1))","연극","문주하, 김승찬, 민규태, 이승민, 김무정, 오시후","유예은, 이수민, 김정현 등","만 14세 이상","1시간 15분","컨템포러리 테일즈","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299291_260825_103350.gif","PF299291"
"제6회 원모어 페스티벌, 라비스망","2026.09.16","2026.09.20","소극장 플랫폼74 (소극장 플랫폼74)","연극","장재선, 김태윤, 이지민, 한유진, 민동준, 오탕","오탕, 정민혁, 강동우 등","전체 관람가","1시간 30분","극단 이명희, 극단 이명희","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299289_260825_102707.gif","PF299289"
"제9회 극장동국 연출가전, 인간찬가","2026.09.09","2026.09.20","극장 동국 (극장 동국)","연극","곽유신, 편해준, 민경현, 서동재, 이한영","안유리","만 14세 이상","1시간 40분","부엉왈츠","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299279_260824_164828.gif","PF299279"
"오빠 생각 [대학로]","2026.09.09","2026.09.13","보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀))","연극","박우열, 황연희, 김홍택, 허혁, 배태민, 배찬옥, 정의진 등","손대원, 김현희, 안준성 등","만 11세 이상","1시간 40분","창작집단 유희자, 창작집단 유희자","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299244_260824_145737.gif","PF299244"
"제29회 서울 프린지 페스티벌, 상철이 엄마","2026.08.22","2026.08.23","서보아트스페이스(서보미술문화공간)[서울] (SOUNDS)","연극","한재현, 정진교, 김난희, 김준성, 성건우, 서다예","김준성, 서다예, 이예림 등","만 15세 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299228_260824_142436.jpg","PF299228"
"빈집 [대학로]","2026.09.10","2026.10.18","지즐소극장 (지즐소극장)","연극","김경란, 김진주, 김태인, 김민지, 손재이, 조신휘, 양영문 등","","만 10세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299214_260824_135834.jpg","PF299214"
"극단 인파 10주년 기획공연, 미친새","2026.09.04","2026.09.06","인천아트플랫폼 (공연장 (C동) )","연극","엄동현, 오택은, 박주형, 김진우, 맥글락큰해성, 김정유, 유은지, 김영상","하병훈, 정지호, 마찬호 등","만 13세 이상","1시간 10분","극단 인파(INPA)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299186_260824_125639.jpeg","PF299186"
"그럼에도 불구하고","2026.09.10","2026.09.27","R&J씨어터(구. 연진아트홀) (R&J씨어터(구. 연진아트홀))","연극","강서하, 박예린, 박연지, 서지윤, 이민주, 이승민, 이휘서 등","안혜진, 최유정, 김수연 등","만 12세 이상","1시간 10분","샤인 액터스(Shine Actors), 샤인 액터스(Shine Actors), 알앤제이아트컴퍼니 (R&J Art Company), 알앤제이아트컴퍼니 (R&J Art Company)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299184_260824_125034.jpg","PF299184"
"제6회 원모어 페스티벌, 탐정 정약용: 안조이 살인사건","2026.09.10","2026.09.13","소극장 플랫폼74 (소극장 플랫폼74)","연극","김수진, 권다림, 이인희, 김민석, 김동훈, 조성준, 정두원","안정민","만 13세 이상","1시간","시의적절","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299165_260824_111258.png","PF299165"
"어쩌다보니 [대전]","2026.10.02","2026.11.08","작은극장 다함 (작은극장 다함)","연극","","","만 10세 이상","1시간 40분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299151_260824_103126.png","PF299151"
"홀로 [마산]","2026.09.11","2026.09.13","마산문화예술센터 시민극장 (마산문화예술센터 시민극장)","연극","박찬영, 김소정, 강주성","김소정","만 7세 이상","","극단 상상창꼬","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299142_260821_183738.jpg","PF299142"
"메타모르포시스: 변신","2026.10.02","2026.10.03","구로아트밸리 (예술극장)","연극","강희원, 김명국, 송현빈, 오시후, 이승연, 이준원, 하지연 등","김민정, 강윤아, 민현기 등","만 11세 이상","1시간 10분","(재)구로문화재단, 한국예술종합학교 연극원(KARTS), 한국예술종합학교 연극원(KARTS)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299126_260821_165124.gif","PF299126"
"우석훈 코미디 단편선 [광주]","2026.09.11","2026.09.13","예술극장 통 (예술극장 통)","연극","우석훈","우석훈, 김수영, 박미선 등","만 7세 이상","1시간 20분","극단 무언가, 극단 무언가","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299119_260821_160122.gif","PF299119"
"쉿! 수상한 장난감 가게 [개인]","2026.09.05","2026.09.20","천안어린이꿈누리터 (구. 천안시 어린이 회관) (꿈누리대공연장)","연극","강지수, 양채원, 윤현준, 이지윤, 정복영","서효정, 김이경","24개월 이상","50분","극단 너울","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299117_260821_154541.png","PF299117"
"ASAC 연극, 레오폴트슈타트","2026.10.16","2026.10.19","안산문화예술의전당 (달맞이극장)","연극","이정미, 박윤희, 방진의, 안병식, 여승희, 김민하, 김세환 등","김연민, 남경식, 성미림 등","만 13세 이상","2시간 10분","(재)안산문화재단(안산문화예술의전당), (재)안산문화재단(안산문화예술의전당), 스토리 포레스트","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299103_260821_145419.jpg","PF299103"
"제14회 GAF 공연예술제, 솔리다리오스","2026.10.02","2026.10.02","구로창의아트홀 (구로창의아트홀)","연극","변은영, 이도위, 문기영, 소윤호, 김지수, 황휘윤","차희, 유미, 이유신 등","만 7세 이상","1시간 20분","극단 지금여기","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299099_260821_144300.gif","PF299099"
"옛날 옛적에 말이야 [대학로]","2026.08.27","2026.08.30","경복궁아트홀 (경복궁아트홀)","연극","김규리, 박민구, 이승주, 정예원, 최다빈, 한지우, 황경욱","장유나","48개월 이상","50분","극단 아우성, 극단 아우성","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299090_260821_141947.gif","PF299090"
"구미 아시아 연극제, 봄이 오면 [구미]","2026.09.13","2026.09.13","소극장 공터 다 (소극장 공터 다)","연극","이규성, 김현수","장창석, 장영석, 김한솔 등","만 9세 이상","1시간 5분","구미시, 극단 벅수골","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299088_260821_141146.jpg","PF299088"
"딜레마 [대학로]","2026.09.02","2026.09.06","소극장 창덕궁 (소극장 창덕궁)","연극","박종원, 궁남경, 강원석, 최평선, 조용현, 홍소리, 최영우","최영재, 최영우, 임준석 등","만 10세 이상","1시간 30분","스페이스 8, 스페이스 8","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299084_260821_140425.jpg","PF299084"
"제11회 청소년을 위한 공연 예술 축제, 망각의 클럽","2026.09.02","2026.09.02","아르코 꿈밭극장 (아르코꿈밭극장)","연극","","박민서, 지선애","만 10세 이상","40분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299083_260821_140425.jpg","PF299083"
"극단여행자 극장전, 이중의 변심","2026.09.04","2026.09.13","여행자극장 (여행자극장)","연극","김명연, 김해중, 노독립, 박현지, 박혜림, 송상규, 정인혜","김은희, 김상보, 장혜지 등","만 7세 이상","1시간 40분","코르코르디움","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299062_260821_131416.gif","PF299062"
"필근이 온다 [김해]","2026.10.31","2026.10.31","김해문화의전당 (누리홀)","연극","","","만 7세 이상","1시간 30분","(재)김해문화재단 김해문화의전당","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299043_260824_110049.jpg","PF299043"
"젤리피쉬 [광명]","2026.09.19","2026.09.19","광명시민회관 (대공연장)","연극","백지윤, 정수영, 김바다, 김범진","민새롬, 김현지, 주연경 등","만 13세 이상","2시간 20분","(재)한국장애인문화예술원, 크리에이티브테이블 석영","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299042_260821_115216.png","PF299042"
"우리가 빛의 속도로 갈 수 없다면 [포항]","2026.09.11","2026.09.12","포항문화예술회관 (대공연장)","연극","장희랑, 김민철, 이흔지, 이보람, 이한엽, 성홍석","이정길, 김주안, 전현미 등","만 7세 이상","1시간 20분","(재)포항문화재단","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299024_260821_104614.jpg","PF299024"
"12인의 성난 사람들","2026.08.25","2026.08.30","대학로 스카이씨어터 (2관(5층 구 JK아트홀))","연극","윤상현, 노시홍, 김지선, 이가은, 최소담, 김혜성, 서반석 등","박정학, 윤건희, 정승호 등","만 7세 이상","2시간 10분","리얼액터스팀, 스카이씨어터 2관","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299014_260821_101802.gif","PF299014"
"리: 바운드 축제, 우리가 빛의 속도로 갈 수 없다면","2026.11.07","2026.11.08","예술의전당 [서울] (자유소극장)","연극","장희랑, 김민철, 이흔지, 이보람, 이한엽, 성홍석, 진윤정 등","이정길, 김주안, 전현미 등","만 7세 이상","1시간 20분","극단 길, 주식회사 코스타","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF299009_260820_154613.gif","PF299009"
"최초의 웃음","2026.09.16","2026.09.20","열린극장 (열린극장)","연극","서원호, 박소은, 민현기, 정명기, 김광호, 박소희","피재호, 김자빈, 손승명 등","만 11세 이상","1시간 30분","극단 십삼월, 극단 십삼월","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298992_260820_144511.gif","PF298992"
"제11회 청소년을 위한 공연 예술 축제, 어느 날 와르르","2026.09.05","2026.09.05","아르코 꿈밭극장 (아르코꿈밭극장)","연극","고은지, 나도이, 장재희, 현혜선","손은재, 유태희, 강상민 등","만 12세 이상","1시간 30분","정글프로젝트","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298990_260820_143826.jpg","PF298990"
"리: 바운드 축제, 선녀씨 이야기","2026.10.30","2026.10.31","예술의전당 [서울] (자유소극장)","연극","고현주, 차영우, 박선혜, 변상윤, 김인하, 김영실, 이혜미 등","이삼우, 심봉석, 고재경 등","만 7세 이상","1시간 30분","극단 예도, 주식회사 코스타","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298984_260820_143038.gif","PF298984"
"현관문을 열어라 [대학로]","2026.09.03","2026.09.13","예술공간 혜화 (예술공간 혜화)","연극","김슬, 고다연, 김하린, 이관목","최수완, 김지은, 정유석 등","만 13세 이상","1시간 40분","유어코퍼(주)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298977_260820_141738.gif","PF298977"
"마주하는 마임.2 마임 X 인형극","2026.09.05","2026.09.05","스튜디오 QDA(구. 춤공장) (스튜디오 QDA(구. 춤공장))","연극","신유안, 최정산, 이현수, 홍경아","","전체 관람가","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298965_260820_134959.jpg","PF298965"
"국립극단, 안트로폴리스 Ⅲ: 오이디푸스","2026.09.24","2026.10.18","국립극단 [명동] (명동예술극장)","연극","강세웅, 김문희, 김석주, 김신효, 김정아, 김진복, 배선희 등","강량원, 송전, 임일진 등","만 15세 이상","2시간","(재) 국립극단, (재) 국립극단","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298964_260820_134953.jpg","PF298964"
"필로우맨 [대학로]","2026.09.04","2026.09.06","북극곰소극장 (북극곰소극장)","연극","이은서, 전진욱, 김가하, 강한성","최찬, 최우영, 신서현 등","만 13세 이상","2시간 40분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298960_260820_134049.png","PF298960"
"시간을 파는 상점 [고흥]","2026.09.03","2026.09.03","고흥문화회관 (김연수실)","연극","고민지, 권민, 최서연, 김우진, 방준용, 한지한, 박채안 등","","만 7세 이상","1시간 30분","파랑컴퍼니, 파랑컴퍼니","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298959_260820_134048.gif","PF298959"
"사의 찬미 [대구]","2026.10.03","2026.10.03","아양아트센터 (아양홀)","연극","전소민, 곽명진, 진소연, 박선호, 김태향, 박수야, 허동수 등","전용석, 장용균, 이연우 등","만 13세 이상","1시간 50분","(재) 대구광역시 동구문화재단(아양아트센터)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298928_260820_113037.jpg","PF298928"
"로라? 노라! [원주]","2026.09.12","2026.09.13","어울림소극장 [원주] (어울림소극장 [원주])","연극","이서이, 김현경","염민규, 박승원, 조수현 등","만 13세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298904_260820_103047.png","PF298904"
"데스포이나 [대학로]","2026.10.02","2026.10.04","씨어터조이 (구. 마당세실극장) (씨어터조이 (구. 마당세실극장) )","연극","김라연, 김수민, 조준원, 선유림, 김예원, 조아해","주아진, 조형운, 장윤서 등","만 13세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298897_260820_101913.png","PF298897"
"어린이 아트스테이지, 저승할망 [김포]","2026.09.19","2026.09.20","통진두레문화센터 (두레홀)","연극","","","36개월 이상","1시간 5분","이야기기획단 시작과 끝, 통진두레문화센터","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298887_260819_151826.gif","PF298887"
"M 초이스, 욕망이라는 이름의 전차","2026.10.08","2026.10.11","마포아트센터 (아트홀맥)","연극","송일국, 송선미, 김주희, 홍유진, 황정원, 장경애, 맹상열 등","조금희, 윤현식, 정진우 등","만 13세 이상","1시간 40분","(재)마포문화재단(마포아트센터)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298883_260819_150216.gif","PF298883"
"오로라 [대학로]","2026.08.28","2026.09.13","파랑새극장(구. 샘터파랑새극장) (1관)","연극","고형우, 하은주, 이수지, 노지유, 남가현, 권혁, 정현우","나석준, 장승혜, 이소정 등","만 7세 이상","1시간 30분","제이엠액터스, 제이엠액터스","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298882_260819_145901.jpg","PF298882"
"춘천연극제, 사랑해 엄마","2026.08.28","2026.08.29","봄내극장 (봄내극장)","연극","조혜련, 조지환, 정지환, 이서주, 김연수, 유민정 등","","만 7세 이상","1시간 40분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298867_260819_141315.png","PF298867"
"나는 자라면서 무수한 나를 만날 것이다 [파주]","2026.09.16","2026.09.16","파주시민회관 (소공연장)","연극","고윤희, 김영표, 심혜림","고윤희, 이동근, 고명원","만 7세 이상","1시간 15분","동네기획소","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298855_260819_135719.jpg","PF298855"
"화림 광장 [대학로]","2026.09.03","2026.09.06","보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀))","연극","최연준, 유혜리, 신지현, 백종태, 강민구, 김한솔, 최여진 등","권승구, 조성규, 이윤채 등","만 11세 이상","1시간 20분","극단 모드(MODEST Ent.), 극단 모드(MODEST Ent.)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298845_260819_133252.gif","PF298845"
"제9회 프로젝트10minutes, 1주차","2026.09.03","2026.09.06","서울연극창작센터 (서울씨어터 101 (1F) )","연극","임희정, 서예완, 서이룸, 이규빈, 변다연, 이경은, 최정민 등","전인기, 이선재, 홍예성 등","만 13세 이상","1시간 10분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298836_260819_131545.jpg","PF298836"
"히로시마메시지 [울산]","2026.08.22","2026.08.23","아트홀 마당 (아트홀 마당)","연극","전상미, 유미희, 변현주, 이현식, 김다애, 송아린, 정선욱 등","이성민, 조익래, 양경웅 등","만 14세 이상","1시간 50분","소극장품, 소극장품","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298834_260819_131359.gif","PF298834"
"덕만씨를 찾습니다 [대학로]","2026.09.01","2026.09.06","공간아울 (공간아울)","연극","하덕성, 권혁풍, 김용선, 김채원, 이호림","이정운, 장경민, 이상아 등","만 10세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298822_260819_122440.jpg","PF298822"
"체온 [대학로]","2026.09.04","2026.09.13","열린극장 (열린극장)","연극","황근복, 김상훈, 임나래, 박석진, 김하영, 황혜림, 양현석 등","모건강, 김하영, 김남석 등","만 7세 이상","1시간 30분","극단 가마골, 바람커뮤니케이션","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298817_260819_113041.jpg","PF298817"
"미명","2026.09.02","2026.09.06","극장 봄 (봄소극장) (극장 봄)","연극","박세일, 유혜주, 백경두, 성준혁, 권다예, 임성빈, 김태정 등","이건희, 백지은, 백주연 등","만 8세 이상","1시간 30분","프로젝트 모락","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298814_260819_112430.gif","PF298814"
"제11회 청소년을 위한 공연 예술 축제: 소년, 문턱에 서서","2026.09.08","2026.09.08","아르코 꿈밭극장 (아르코꿈밭극장)","연극","박성현, 윤국희, 박현승, 윤지영, 김도연, 왕건우","성화숙, 정수진, 이지우 등","만 10세 이상","1시간 20분","극단 우아","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298806_260819_105900.jpg","PF298806"
"제29회 서울프린지페스티벌, 기형도PLAYs + 소녀가 잃어버린 것","2026.08.22","2026.08.22","보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀))","연극","강종희, 황정화, 김희정, 정미현, 원영진, 황윤주, 조윤희","박웅, 정미현, 오현정 등","만 12세 이상","1시간","극딴 곤","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298793_260819_103110.png","PF298793"
"제11회 청소년을 위한 공연예술축제, 양파꽃","2026.09.04","2026.09.04","아르코 꿈밭극장 (아르코꿈밭극장)","연극","이수연, 김다은, 박세이, 신유정, 김치성, 채지웅, 김경태","김희수, 유보민, 이예희 등","만 10세 이상","1시간 30분","낭만 수비대","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298786_260819_101343.jpg","PF298786"
"운빨로맨스 [의령]","2026.08.28","2026.08.28","의령군민문화회관 (의령군민문화회관)","연극","","","만 12세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298785_260819_100921.png","PF298785"
"제14회 대전 청년 유니브 연극제, 절레절레 동화","2026.08.20","2026.08.20","드림아트홀 [대전] (드림아트홀 [대전] )","연극","김예담, 김태현, 박민, 서이현, 서호, 이선, 이지원 등","고해성, 강태우, 이주원 등","전체 관람가","1시간 30분","극단 사색","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298783_260819_100551.png","PF298783"
"제26회 SPAF, 뺨을 맞지 않고 사는 게 삶의 전부가 될 순 없더라","2026.10.15","2026.10.16","아르코예술극장 (소극장)","연극","","구자혜","만 7세 이상","1시간 35분","(재)예술경영지원센터","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298779_260818_175201.jpg","PF298779"
"내 모든 걸 [인천]","2026.10.03","2026.10.03","계양문화회관 (대공연장)","연극","김기정, 한이연, 김형일, 황영준, 서태이 등","안세빈, 이은지, 박정권 등","만 7세 이상","1시간 30분","이연컴퍼니, 이연컴퍼니","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298772_260818_171000.jpg","PF298772"
"서울어텀페스타, 당신의 손","2026.09.04","2026.09.20","연우소극장 (연우소극장)","연극","남권아, 안다정, 정의천","김수희, 이창원, 박그림 등","만 13세 이상","1시간 35분","코르코르디움","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298769_260818_170014.gif","PF298769"
"제9회 극장동국 연출가전, 붉은 눈의 소녀","2026.08.26","2026.09.06","극장 동국 (극장 동국)","연극","김다슬, 김웅희, 김다슬, 박득환, 양윤소, 이지훈, 조재준 등","조재욱","만 12세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298764_260818_163412.jpeg","PF298764"
"영원한 평화 [대학로]","2026.09.10","2026.09.13","미래아트홀 (미래아트홀)","연극","안보리, 차희재, 천수민, 허은지","김순호, 김은경, 원성준 등","만 7세 이상","1시간","극단 밀도, 극단 밀도","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298762_260818_163052.gif","PF298762"
"외계인이 인류를 멸망시킨대","2026.09.02","2026.09.13","공간알 (공간알)","연극","최윤서, 예지민, 이민아, 이현송, 이산하, 정윤선, 정민우","김수민, 최윤영, 박건우 등","만 11세 이상","1시간 40분","창작집단 새알","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298753_260818_155959.gif","PF298753"
"제26회 SPAF, 사이의 거리","2026.10.08","2026.10.10","아르코예술극장 (대극장)","연극","앨리슨 드샹, 아다마 디오프","티아고 호드리게즈, 토마스 레젠드, 페르난두 히베이루 등","만 13세 이상","1시간 25분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298751_260818_155705.jpg","PF298751"
"덧칠 [인천]","2026.09.17","2026.09.19","인천수봉문화회관 (소극장)","연극","백종헌, 황지선","임지웅, 최성진 등","만 7세 이상","1시간 20분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298750_260818_155449.jpg","PF298750"
"시련 [시흥]","2026.08.29","2026.08.29","리치버번 [시흥] (리치버번)","연극","강영주, 김아림, 김하나, 김해임, 백민정, 윤서진, 이소현 등","","만 12세 이상","1시간","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298748_260818_155044.png","PF298748"
"클로저 [대학로]","2026.09.15","2026.12.06","예스24 스테이지(구. DCF대명문화공장) (2관)","연극","오만석, 배수빈, 홍우진, 최강희, 장희진, 홍종현, 강영석 등","김지호, 손형민, 김미경 등","만 19세 이상","1시간 50분","(주)레드앤블루(구. 악어컴퍼니), (주)레드앤블루(구. 악어컴퍼니)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298745_260818_154141.gif","PF298745"
"제26회 SPAF, 블러: 경계가 흐려질 때: PHI 스튜디오, 리버베드 시어터, 오나시스 컬쳐","2026.10.16","2026.10.17","서울문화재단 대학로극장 쿼드 (예술청) (대학로극장 쿼드 (예술청) )","연극","위신 위, 이쉬안 천, 메이춘 샹, 닝 창, 시아 즈 린, 피비 그린버그, 신치 천 등","크레이그 쿠인테로, 피버 그린버그, 쑤링 예 등","만 16세 이상","45분","(재)예술경영지원센터","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298740_260818_152510.gif","PF298740"
"제26회 SPAF, 기억의 저편","2026.10.24","2026.10.25","아르코예술극장 (소극장)","연극","말리초 바카 발렌수엘라","말리초 바카 발렌수엘라, 로사 알파로, 린도르 발렌수엘라 등","만 16세 이상","55분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298732_260818_150749.jpg","PF298732"
"없는극장 짓기: 없는극장과 레지던시 & 극장 밖","2026.09.05","2026.09.06","없는극장 (없는극장)","연극","김진솔, 조냇물, 차윤석, 채윤, 최현조, 강윤민지, 민재원 등","권근영, 전윤환, 이유정 등","만 14세 이상","3시간","A.N.D Theatre(앤드씨어터)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF298729_260818_145722.jpeg","PF298729"
